time,leader,platoon compo,string compo,platoon DTW,ACC,platoon with 3 ACC,platoon with 2 ACC,platoon with 1 ACC,strict stability,weak stability
5.0,94.0,"[97, 104, 108]","[97,104,108]","[0.27,0.45,0.85]","[False,False,False]",False,False,False,Unstable,Unstable
10.0,97.0,"[104, 108]","[104,108]","[0.33,0.49]","[False,False]",False,False,False,Stable,Stable
15.0,97.0,"[104, 108]","[104,108]","[0.56,0.54]","[False,False]",False,False,False,Stable,Stable
20.0,97.0,"[104, 108]","[104,108]","[0.55,0.55]","[False,False]",False,False,False,Stable,Stable
25.0,97.0,"[104, 108]","[104,108]","[0.41,0.22]","[False,False]",False,False,False,Stable,Stable
30.0,97.0,"[104, 108]","[104,108]","[0.43,0.17]","[False,False]",False,False,False,Stable,Stable
35.0,97.0,"[104, 108]","[104,108]","[0.39,0.23]","[False,False]",False,False,False,Stable,Stable
40.0,97.0,"[104, 108]","[104,108]","[0.47,0.16]","[False,False]",False,False,False,Stable,Stable
45.0,97.0,"[104, 108, 115]","[104,108,115]","[0.41,0.19,1.16]","[False,False,False]",False,False,False,Stable,Stable
10.3,23.0,"[36, 94]","[36,94]","[0.43,0.63]","[False,False]",False,False,False,Unstable,Unstable
15.3,23.0,"[36, 94]","[36,94]","[0.47,0.64]","[False,False]",False,False,False,Stable,Stable
20.3,23.0,"[36, 94]","[36,94]","[0.38,0.64]","[False,False]",False,False,False,Stable,Stable
25.3,23.0,"[36, 94]","[36,94]","[0.34,0.58]","[False,False]",False,False,False,Stable,Stable
30.3,23.0,"[36, 94]","[36,94]","[0.65,0.99]","[False,False]",False,False,False,Stable,Stable
35.3,23.0,"[36, 94]","[36,94]","[0.38,0.86]","[False,False]",False,False,False,Stable,Stable
5.3,31.0,"[34, 138]","[34,138]","[0.33,0.91]","[False,False]",False,False,False,Stable,Stable
15.3,31.0,"[34, 138]","[34,138]","[0.53,1.04]","[False,False]",False,False,False,Stable,Stable
25.1,26.0,"[11, 39]","[11,39]","[0.57,0.37]","[False,False]",False,False,False,Stable,Stable
30.1,26.0,"[11, 39]","[11,39]","[0.77,0.13]","[False,False]",False,False,False,Stable,Stable
131.1,25.0,"[946, 2064]","[946,2064]","[0.67,0.86]","[False,False]",False,False,False,Unstable,Unstable
70.2,25.0,"[24, 21]","[24,21,38,35]","[0.5,1.01]","[False,False]",False,False,False,Stable,Stable
75.2,25.0,"[24, 21]","[24,21,38,35]","[0.46,0.95]","[False,False]",False,False,False,Stable,Stable
80.2,25.0,"[24, 21]","[24,21,38,35]","[0.49,1.16]","[False,False]",False,False,False,Stable,Stable
85.2,25.0,"[24, 21]","[24,21,38,35]","[0.33,1.24]","[False,False]",False,False,False,Stable,Stable
90.2,25.0,"[24, 21]","[24,21]","[0.64,1.01]","[False,False]",False,False,False,Stable,Stable
100.2,25.0,"[24, 21]","[24,21]","[0.82,0.76]","[False,False]",False,False,False,Stable,Stable
197.6,2064.0,"[2851, 2867, 3018]","[2851,2867,3018]","[1.29,0.5,0.23]","[False,False,False]",False,False,False,Unstable,Unstable
5.2,14.0,"[12, 28, 25, 24, 21]","[12,28,25,24,21]","[0.51,0.74,0.89,1.15,1.49]","[False,False,False,False,False]",False,False,False,Unstable,Unstable
35.2,14.0,"[12, 28]","[12,28,25,24,21,38,35]","[0.38,1.25]","[False,False]",False,False,False,Unstable,Unstable
10.2,12.0,"[28, 25, 24, 21]","[28,25,24,21]","[0.36,0.43,0.83,0.76]","[False,False,False,False]",False,False,False,Unstable,Unstable
15.2,12.0,"[28, 25, 24, 21]","[28,25,24,21]","[0.89,0.82,1.03,0.95]","[False,False,False,False]",False,False,False,Unstable,Unstable
150.2,12.0,"[28, 24]","[28,24]","[1.18,0.2]","[False,False]",False,False,False,Unstable,Unstable
202.0,24.0,"[3029, 2851]","[3029,2851]","[0.77,0.71]","[False,False]",False,False,False,Stable,Stable
10.2,10.0,"[19, 22]","[19,22,27]","[0.71,1.36]","[True,True]",False,True,False,Unstable,Unstable
15.2,10.0,"[19, 22]","[19,22,27]","[0.92,1.23]","[True,True]",False,True,False,Unstable,Unstable
20.2,10.0,"[19, 22]","[19,22]","[1.14,0.72]","[True,True]",False,True,False,Unstable,Unstable
25.2,10.0,"[19, 22]","[19,22]","[0.39,0.75]","[True,True]",False,True,False,Stable,Stable
35.2,10.0,"[19, 22]","[19,22]","[0.88,1.35]","[True,True]",False,True,False,Stable,Stable
40.2,10.0,"[19, 22]","[19,22,27]","[0.46,0.88]","[True,True]",False,True,False,Stable,Stable
45.2,10.0,"[19, 22]","[19,22,27,30]","[0.22,0.27]","[True,True]",False,True,False,Stable,Stable
50.2,10.0,"[19, 22]","[19,22]","[0.33,0.46]","[True,True]",False,True,False,Stable,Stable
55.2,10.0,"[19, 22]","[19,22]","[0.41,0.76]","[True,True]",False,True,False,Stable,Stable
60.2,10.0,"[19, 22]","[19,22]","[0.44,0.83]","[True,True]",False,True,False,Unstable,Unstable
65.2,10.0,"[19, 22]","[19,22]","[0.58,0.69]","[True,True]",False,True,False,Stable,Stable
14.0,19.0,"[29, 22]","[29,22]","[0.52,1.08]","[False,True]",False,True,False,Stable,Stable
168.7,19.0,"[1764, 22, 2762]","[1764,22,2762]","[0.22,0.6,0.86]","[False,True,False]",False,True,False,Stable,Stable
